user1_id,user2_id
0,1202
1,1872
2,1852
3,229
3,249
3,313
3,401
3,467
3,475
3,520
3,586
3,596
3,602
3,610
3,682
3,739
3,798
3,945
3,1002
3,1135
3,1167
3,1298
3,1334
3,1344
3,1635
3,1945
3,2049
3,2069
3,2150
3,2191
3,2208
4,366
5,71
6,1118
7,1202
8,71
9,108
10,701
10,962
11,554
12,551
13,1506
14,281
15,595
16,281
17,595
18,540
18,675
18,679
18,697
18,725
18,838
18,929
18,938
18,1059
18,1119
18,1195
18,1278
18,1376
18,1412
18,1558
18,1750
18,2133
18,2218
19,1811
20,747
21,71
22,1118
23,701
24,281
25,498
25,1459
25,1672
26,281
27,234
27,858
27,883
27,1620
28,1236
29,1236
30,417
31,281
32,1924
33,108
34,35
34,203
34,265
34,281
34,432
34,484
34,625
34,659
34,707
34,735
34,853
34,951
34,997
34,1073
34,1142
34,1161
34,1196
34,1198
34,1230
34,1292
34,1333
34,1348
34,1377
34,1385
34,1564
34,1637
34,1647
34,1660
34,1719
34,1762
34,1979
36,281
37,74
38,258
38,813
38,1253
39,797
39,1280
40,1236
41,1811
42,1811
43,1811
44,306
44,1407
45,962
46,1561
47,1811
48,595
49,1039
50,1103
51,522
51,1431
52,1811
53,225
54,281
55,1811
56,112
56,448
56,1048
56,1148
56,1387
56,1416
56,1988
57,108
57,271
57,506
57,778
57,891
57,2026
58,74
59,595
60,595
61,1350
62,1872
63,595
64,108
65,701
66,1039
67,1593
68,1872
69,1872
70,1202
71,100
71,109
71,141
71,207
71,210
71,214
71,259
71,277
71,290
71,296
71,321
71,357
71,391
71,443
71,452
71,485
71,518
71,543
71,560
71,579
71,605
71,613
71,620
71,652
71,725
71,744
71,752
71,771
71,784
71,847
71,907
71,908
71,932
71,939
71,960
71,1003
71,1014
71,1052
71,1059
71,1111
71,1112
71,1116
71,1117
71,1153
71,1154
71,1172
71,1195
71,1199
71,1204
71,1226
71,1247
71,1275
71,1312
71,1327
71,1369
71,1406
71,1479
71,1498
71,1563
71,1607
71,1625
71,1675
71,1681
71,1725
71,1756
71,1760
71,1772
71,1805
71,1908
71,1915
71,2005
71,2013
71,2033
71,2035
71,2040
71,2042
71,2083
72,1811
72,1924
73,728
74,156
74,187
74,565
74,992
74,1335
74,1582
74,1673
74,1989
75,281
76,281
77,281
78,1039
79,108
79,271
80,595
81,108
82,1811
83,1350
84,417
85,1202
85,1474
86,1039
87,1924
88,1039
89,595
90,108
91,1039
92,595
93,417
94,1834
95,1202
96,127
97,725
97,2103
98,108
99,595
101,701
101,2093
102,281
103,1236
104,359
105,459
105,1436
106,1306
107,1746
108,119
108,133
108,161
108,165
108,175
108,177
108,201
108,248
108,319
108,327
108,335
108,340
108,343
108,348
108,352
108,376
108,382
108,384
108,393
108,395
108,454
108,461
108,504
108,519
108,530
108,541
108,561
108,567
108,583
108,587
108,600
108,609
108,611
108,635
108,650
108,677
108,691
108,699
108,707
108,759
108,772
108,783
108,827
108,838
108,865
108,881
108,889
108,964
108,981
108,985
108,986
108,998
108,1017
108,1019
108,1036
108,1038
108,1044
108,1066
108,1075
108,1083
108,1091
108,1108
108,1109
108,1125
108,1128
108,1134
108,1144
108,1184
108,1191
108,1218
108,1262
108,1264
108,1266
108,1276
108,1279
108,1289
108,1291
108,1324
108,1341
108,1346
108,1347
108,1352
108,1353
108,1378
108,1404
108,1418
108,1427
108,1433
108,1466
108,1467
108,1481
108,1488
108,1492
108,1496
108,1497
108,1510
108,1523
108,1524
108,1525
108,1550
108,1551
108,1560
108,1586
108,1600
108,1601
108,1602
108,1611
108,1613
108,1619
108,1621
108,1642
108,1644
108,1646
108,1666
108,1667
108,1671
108,1683
108,1685
108,1700
108,1705
108,1707
108,1709
108,1731
108,1733
108,1736
108,1745
108,1748
108,1754
108,1755
108,1773
108,1783
108,1784
108,1790
108,1809
108,1814
108,1816
108,1817
108,1835
108,1839
108,1861
108,1868
108,1869
108,1870
108,1895
108,1950
108,1969
108,1976
108,1981
108,1992
108,1999
108,2003
108,2009
108,2016
108,2027
108,2051
108,2055
108,2061
108,2073
108,2113
108,2114
108,2115
108,2128
108,2138
108,2144
108,2156
108,2173
108,2178
108,2181
108,2183
108,2189
108,2190
108,2219
110,1042
111,701
111,1118
112,281
112,417
113,271
114,913
115,2018
116,701
117,955
118,1811
120,1039
121,281
122,701
123,1118
124,225
124,516
124,684
125,554
126,271
128,205
129,1118
130,595
131,1202
132,1749
133,1547
134,281
135,305
136,2095
137,542
137,2095
138,1738
139,1221
139,1249
139,1396
139,1983
140,896
142,701
143,808
144,962
144,1568
145,595
146,1738
147,1811
148,418
149,1746
150,1118
151,701
152,701
153,1811
154,1202
155,1811
156,1039
156,1202
156,1811
157,1811
158,1811
159,1118
160,701
160,808
162,281
163,701
164,684
165,271
166,271
167,1872
168,555
168,1883
168,2064
168,2099
169,271
169,701
170,490
170,575
170,913
170,1137
170,1218
170,1317
170,1360
170,1856
170,1885
171,1612
172,1811
173,554
174,1306
176,2086
178,1185
178,1379
179,701
180,1852
181,1811
181,1924
182,1039
183,896
184,595
184,1202
185,811
186,701
188,1670
189,1811
190,225
191,305
192,1236
193,664
194,1815
195,1811
196,1350
197,1811
198,728
199,281
200,1306
201,915
201,1280
202,369
204,2036
205,434
205,924
205,971
205,1512
205,1688
205,1915
206,1039
208,1039
209,271
211,1811
212,216
213,288
215,371
215,517
215,547
215,603
215,830
215,893
215,1130
215,1162
215,1183
215,1248
215,1459
215,1566
215,1660
215,1717
215,1789
215,1909
215,2187
215,2188
217,1918
218,2003
219,281
220,1202
221,1811
222,934
222,1094
222,1540
222,2057
223,1811
224,281
224,1178
225,248
225,339
225,396
225,456
225,481
225,511
225,584
225,618
225,648
225,701
225,713
225,756
225,758
225,818
225,848
225,900
225,969
225,984
225,995
225,1043
225,1058
225,1065
225,1092
225,1144
225,1164
225,1196
225,1228
225,1232
225,1241
225,1253
225,1345
225,1355
225,1360
225,1364
225,1378
225,1428
225,1445
225,1467
225,1476
225,1483
225,1592
225,1603
225,1669
225,1677
225,1679
225,1682
225,1684
225,1722
225,1758
225,1779
225,1799
225,1810
225,1826
225,1848
225,1893
225,1897
225,1907
225,1922
225,1923
225,1932
225,1939
225,1949
225,1972
225,1975
225,2020
225,2046
225,2065
225,2068
225,2079
225,2092
225,2132
225,2163
225,2189
225,2222
226,728
227,728
228,281
230,701
231,281
232,1293
233,701
235,1272
235,1654
236,684
236,1118
236,1601
237,728
238,281
239,1436
240,281
240,2095
241,2095
242,1039
243,281
244,1811
245,1350
246,1202
247,1202
248,418
250,516
250,2220
251,1568
252,1811
253,1202
253,1811
254,1910
255,1350
256,1872
257,1924
260,1811
261,271
262,281
263,1236
264,522
264,1350
266,1759
267,1614
268,1998
269,271
270,701
270,2095
271,289
271,291
271,315
271,328
271,330
271,340
271,367
271,372
271,386
271,399
271,414
271,429
271,458
271,459
271,466
271,481
271,497
271,535
271,548
271,564
271,582
271,598
271,612
271,615
271,630
271,649
271,663
271,707
271,709
271,714
271,738
271,764
271,766
271,780
271,800
271,809
271,831
271,861
271,872
271,891
271,902
271,928
271,980
271,993
271,997
271,1011
271,1022
271,1031
271,1046
271,1047
271,1056
271,1060
271,1079
271,1089
271,1095
271,1102
271,1113
271,1115
271,1120
271,1133
271,1134
271,1142
271,1186
271,1193
271,1214
271,1217
271,1229
271,1238
271,1242
271,1270
271,1301
271,1324
271,1332
271,1362
271,1370
271,1384
271,1394
271,1410
271,1411
271,1421
271,1428
271,1429
271,1458
271,1477
271,1513
271,1566
271,1572
271,1609
271,1617
271,1639
271,1646
271,1653
271,1655
271,1669
271,1687
271,1689
271,1690
271,1701
271,1778
271,1780
271,1785
271,1796
271,1807
271,1825
271,1832
271,1857
271,1897
271,1906
271,1952
271,1988
271,2000
271,2002
271,2006
271,2009
271,2019
271,2060
271,2077
271,2078
271,2090
271,2101
271,2205
272,1811
273,1811
274,1912
275,1374
275,1798
275,2150
276,1811
278,962
279,1202
279,1811
280,1749
281,286
281,287
281,293
281,299
281,303
281,304
281,326
281,331
281,343
281,351
281,353
281,354
281,362
281,370
281,378
281,381
281,383
281,397
281,407
281,409
281,426
281,427
281,430
281,438
281,439
281,451
281,453
281,455
281,460
281,480
281,489
281,494
281,513
281,529
281,534
281,537
281,561
281,576
281,577
281,580
281,587
281,590
281,598
281,606
281,618
281,619
281,642
281,645
281,647
281,651
281,667
281,688
281,694
281,702
281,717
281,727
281,734
281,742
281,748
281,750
281,751
281,782
281,785
281,810
281,825
281,834
281,844
281,855
281,870
281,878
281,886
281,890
281,915
281,925
281,930
281,931
281,933
281,935
281,941
281,961
281,965
281,981
281,991
281,994
281,996
281,1005
281,1007
281,1026
281,1048
281,1068
281,1069
281,1076
281,1083
281,1085
281,1101
281,1107
281,1108
281,1150
281,1151
281,1163
281,1174
281,1184
